transactionid,accountid,transactionamount,transactiondate,transactiontype,location,deviceid,ip_address,merchantid,channel,customerage,customeroccupation,transactionduration,loginattempts,accountbalance
5caf56aa,acc_7055,405.4,2026-08-02 06:51:45,Debit,Porterview,dev_648,21.116.29.7,merch_879,Online,41,Retired,108,3,10170.51
7ad802ab,acc_8860,1267.53,2026-08-02 04:15:42,Credit,East Mike,dev_620,10.188.132.208,merch_974,Online,71,Doctor,92,2,2319.19
e5ecd1c8,acc_4560,1818.69,2026-08-02 08:57:46,Credit,South Scott,dev_577,179.73.33.95,merch_188,ATM,41,Teacher,242,5,18038.95
13ec9c73,acc_8737,1352.76,2026-08-02 02:36:10,Credit,Hughesberg,dev_896,144.123.151.133,merch_626,Branch,28,Manager,247,2,10481.57
51b42e03,acc_8380,123.34,2026-08-02 08:12:55,Credit,Brewerville,dev_928,130.237.168.252,merch_294,Online,47,Engineer,286,1,2250.68
892fea96,acc_9537,1652.08,2026-08-02 16:23:29,Credit,Jenniferstad,dev_556,87.169.115.71,merch_772,Branch,43,Doctor,115,2,4659.05
d969fb06,acc_4357,1488.34,2026-08-02 07:58:13,Credit,Watershaven,dev_883,41.29.129.22,merch_334,Branch,48,Teacher,142,3,3569.73
a54243ab,acc_3854,1695.02,2026-08-01 23:46:51,Credit,Natashafort,dev_976,15.128.174.161,merch_487,ATM,48,Doctor,248,2,12528.72
9a19399f,acc_7272,1998.63,2026-08-02 03:54:28,Credit,Williamsshire,dev_360,57.219.158.225,merch_885,ATM,50,Manager,247,2,7221.81
4039e4d1,acc_8528,1379.97,2026-08-02 01:57:27,Credit,Lake Michellemouth,dev_608,63.196.80.170,merch_748,Branch,53,Teacher,24,1,7742.62
8775dd33,acc_6811,1009.44,2026-08-02 15:52:03,Debit,South Timothy,dev_734,60.95.179.76,merch_533,Online,69,Retired,219,2,14110.8
df4489af,acc_8551,429.84,2026-08-02 07:38:31,Debit,East Alex,dev_456,190.160.237.188,merch_366,ATM,48,Engineer,126,4,18647.11
c4e52430,acc_8641,1102.23,2026-08-01 23:47:06,Debit,North Michellemouth,dev_122,197.221.211.123,merch_907,Online,42,Engineer,60,3,14971.49
972b4421,acc_4619,407.43,2026-08-02 09:44:02,Credit,Darrenborough,dev_672,167.243.86.120,merch_274,ATM,20,Manager,133,2,8254.05
2b33232a,acc_3459,1689.16,2026-08-02 15:28:16,Debit,East Lawrencemouth,dev_241,173.9.135.255,merch_971,Branch,60,Manager,105,5,7439.53
3c374e4d,acc_9569,1918.33,2026-08-02 16:20:12,Credit,South Amyton,dev_934,67.220.167.214,merch_839,Branch,58,Manager,262,3,15555.28
f9d25124,acc_7074,167.74,2026-08-02 16:26:02,Credit,South Amberside,dev_446,115.219.29.142,merch_346,Online,26,Student,183,4,6730.0
2ea70d24,acc_8763,1668.36,2026-08-02 01:27:04,Credit,South Jacob,dev_155,124.245.190.50,merch_328,Branch,51,Manager,49,5,10369.76
29e761c4,acc_9029,1826.82,2026-08-02 13:28:55,Debit,Ortizbury,dev_107,39.176.249.49,merch_460,Online,49,Teacher,21,1,9912.78
7f5e384b,acc_2430,456.92,2026-08-02 07:42:19,Credit,Rogerstad,dev_748,21.122.118.192,merch_107,Online,56,Doctor,119,4,2829.13
a260c7cc,acc_6479,1397.99,2026-08-02 07:49:17,Credit,West Kevinstad,dev_424,90.83.10.36,merch_614,ATM,44,Manager,269,5,18891.21
1b10ac30,acc_5257,39.87,2026-08-02 01:21:06,Credit,Curtisfort,dev_434,211.46.196.152,merch_339,ATM,42,Student,139,1,109.34
7f0bf7f1,acc_6917,1618.31,2026-08-02 02:25:41,Credit,Thompsonfurt,dev_815,188.9.174.98,merch_166,Online,53,Engineer,179,2,3105.52
b558cdf1,acc_5768,449.03,2026-08-02 12:46:31,Credit,Johnmouth,dev_614,155.99.238.141,merch_384,ATM,69,Student,99,2,4152.86
56ed5513,acc_7353,641.78,2026-08-02 11:20:01,Debit,Port Jocelyn,dev_376,39.203.235.175,merch_465,ATM,29,Engineer,127,5,8089.02
c5dae091,acc_6766,915.09,2026-08-01 18:04:49,Credit,North Aaronchester,dev_920,58.168.231.224,merch_880,Online,75,Retired,252,2,18510.55
04f7d07d,acc_6639,1729.06,2026-08-01 21:55:11,Debit,New Traci,dev_207,194.32.94.47,merch_663,Online,36,Doctor,32,1,15407.64
1da0ba0c,acc_8660,1440.64,2026-08-01 23:13:25,Debit,North Sherry,dev_517,119.233.75.84,merch_396,Branch,20,Manager,72,4,14249.74
247a6c68,acc_3297,1663.91,2026-08-02 15:57:13,Credit,Lake Ericville,dev_837,192.207.135.160,merch_825,ATM,19,Manager,257,5,3794.11
a3e763ee,acc_6558,843.59,2026-08-01 19:24:32,Credit,Butlerland,dev_984,52.42.132.156,merch_580,Branch,62,Teacher,235,3,11074.97
